id,year,name,park,wins,losses
1,1871,"Boston Red Stockings","South End Grounds I",20,10
2,1871,"Chicago White Stockings","Union Base-Ball Grounds",19,9
3,1871,"Cleveland Forest Citys","National Association Grounds",10,19
4,1871,"Fort Wayne Kekiongas","Hamilton Field",7,12
5,1871,"New York Mutuals","Union Grounds (Brooklyn)",16,17
6,1871,"Philadelphia Athletics","Jefferson Street Grounds",21,7
7,1871,"Rockford Forest Citys","Agricultural Society Fair Grounds",4,21
8,1871,"Troy Haymakers","Haymakers' Grounds",13,15
9,1871,"Washington Olympics","Olympics Grounds",15,15
10,1872,"Baltimore Canaries","Newington Park",35,19
11,1872,"Brooklyn Eckfords","Union Grounds",3,26
12,1872,"Brooklyn Atlantics","Capitoline Grounds",9,28
13,1872,"Boston Red Stockings","South End Grounds I",39,8
14,1872,"Cleveland Forest Citys","National Association Grounds",6,16
15,1872,"Middletown Mansfields","Mansfield Club Grounds",5,19
16,1872,"New York Mutuals","Union Grounds (Brooklyn)",34,20
17,1872,"Philadelphia Athletics","Jefferson Street Grounds",30,14
18,1872,"Troy Haymakers","Haymakers' Grounds",15,10
19,1872,"Washington Olympics","Olympics Grounds",2,7
20,1872,"Washington Nationals","Nationals Grounds",0,11
21,1873,"Baltimore Canaries","Newington Park",34,22
22,1873,"Baltimore Marylands","Newington Park",0,6
23,1873,"Brooklyn Atlantics","Union Grounds",17,37
24,1873,"Boston Red Stockings","South End Grounds I",43,16
25,1873,"Elizabeth Resolutes","Waverly Fairgrounds",2,21
26,1873,"New York Mutuals","Union Grounds (Brooklyn)",29,24
27,1873,"Philadelphia Athletics","Jefferson Street Grounds",28,23
28,1873,"Philadelphia Whites","Jefferson Street Grounds",36,17
29,1873,"Washington Blue Legs","Olympics Grounds",8,31
30,1874,"Baltimore Canaries","Newington Park",9,38
31,1874,"Brooklyn Atlantics","Union Grounds",22,33
32,1874,"Boston Red Stockings","South End Grounds I",52,18
33,1874,"Chicago White Stockings","23rd Street Grounds",28,31
34,1874,"Hartford Dark Blues","Hartford Ball Club Grounds",16,37
35,1874,"New York Mutuals","Union Grounds (Brooklyn)",42,23
36,1874,"Philadelphia Athletics","Jefferson Street Grounds",33,22
37,1874,"Philadelphia Whites","Jefferson Street Grounds",29,29
38,1875,"Brooklyn Atlantics","Union Grounds",2,42
39,1875,"Boston Red Stockings","South End Grounds I",71,8
40,1875,"Chicago White Stockings","23rd Street Grounds",30,37
41,1875,"Hartford Dark Blues","Hartford Ball Club Grounds",54,28
42,1875,"Keokuk Westerns","Perry Park",1,12
43,1875,"New Haven Elm Citys","Hamilton Park",7,40
44,1875,"New York Mutuals","Union Grounds (Brooklyn)",30,38
45,1875,"Philadelphia Athletics","Jefferson Street Grounds",53,20
46,1875,"Philadelphia Whites","Jefferson Street Grounds",37,31
47,1875,"Philadelphia Centennials","Centennial Grounds",2,12
48,1875,"St. Louis Red Stockings","Red Stocking Baseball Park",4,15
49,1875,"St. Louis Brown Stockings","Grand Avenue Park",39,29
50,1875,"Washington Nationals","Olympics Grounds",5,23
51,1876,"Boston Red Caps","South End Grounds I",39,31
52,1876,"Chicago White Stockings","23rd Street Grounds",52,14
53,1876,"Cincinnati Reds","Avenue Grounds",9,56
54,1876,"Hartford Dark Blues","Hartford Ball Club Grounds",47,21
55,1876,"Louisville Grays","Louisville Baseball Park",30,36
56,1876,"New York Mutuals","Union Grounds (Brooklyn)",21,35
57,1876,"Philadelphia Athletics","Jefferson Street Grounds",14,45
58,1876,"St. Louis Brown Stockings","Sportsman's Park I",45,19
59,1877,"Boston Red Caps","South End Grounds I",42,18
60,1877,"Chicago White Stockings","23rd Street Grounds",26,33
61,1877,"Cincinnati Reds","Avenue Grounds",15,42
62,1877,"Hartford Dark Blues","Union Grounds (Brooklyn)",31,27
63,1877,"Louisville Grays","Louisville Baseball Park",35,25
64,1877,"St. Louis Brown Stockings","Sportsman's Park I",28,32
65,1878,"Boston Red Caps","South End Grounds I",41,19
66,1878,"Chicago White Stockings","Lake Front Park I",30,30
67,1878,"Cincinnati Reds","Avenue Grounds",37,23
68,1878,"Indianapolis Blues","South Street Park",24,36
69,1878,"Milwaukee Grays","Eclipse Park II",15,45
70,1878,"Providence Grays","Messer Street Grounds",33,27
71,1879,"Buffalo Bisons","Riverside Park",46,32
72,1879,"Boston Red Caps","South End Grounds I",54,30
73,1879,"Chicago White Stockings","Lake Front Park I",46,33
74,1879,"Cleveland Blues","Kennard Street Park",27,55
75,1879,"Cincinnati Reds","Avenue Grounds",43,37
76,1879,"Providence Grays","Messer Street Grounds",59,25
77,1879,"Syracuse Stars","Newell Park",22,48
78,1879,"Troy Trojans","Putnam Grounds",19,56
79,1880,"Buffalo Bisons","Riverside Park",24,58
80,1880,"Boston Red Caps","South End Grounds I",40,44
81,1880,"Chicago White Stockings","Lake Front Park I",67,17
82,1880,"Cleveland Blues","Kennard Street Park",47,37
83,1880,"Cincinnati Reds","Bank Street Grounds",21,59
84,1880,"Providence Grays","Messer Street Grounds",52,32
85,1880,"Troy Trojans","Haymakers' Grounds",41,42
